text,label
This movie was messy.,0
The movie turned out to be heartwarming.,1
The movie turned out to be fantastic.,1
The story was frustrating.,0
The story was lifeless.,0
I thought the film was creative.,1
This movie was boring.,0
"Overall, the movie was touching.",1
The movie turned out to be lifeless.,0
This movie was disappointing.,0
I thought the film was flat.,0
I found the movie awful.,0
What a frustrating film.,0
The acting was disappointing.,0
This was an heartwarming movie.,1
I found the movie unwatchable.,0
The acting was charming.,1
The story was awful.,0
The acting was fantastic.,1
The film felt dreadful.,0
The movie turned out to be confusing.,0
The story was outstanding.,1
The movie turned out to be awful.,0
"Overall, the movie was unwatchable.",0
The film felt charming.,1
The story was forgettable.,0
The film felt excellent.,1
The film felt funny.,1
What a amazing film.,1
This movie was wonderful.,1
The acting was wonderful.,1
I found the movie engaging.,1
"Overall, the movie was annoying.",0
The acting was superb.,1
This movie was dreadful.,0
The story was excellent.,1
I thought the film was messy.,0
I found the movie annoying.,0
This movie was thrilling.,1
I thought the film was disappointing.,0
The movie turned out to be ridiculous.,0
The film felt superb.,1
This was an creative movie.,1
This was a mediocre movie.,0
I thought the film was touching.,1
"Overall, the movie was disappointing.",0
I thought the film was weak.,0
The film felt brilliant.,1
I thought the film was engaging.,1
This was a lifeless movie.,0
I found the movie inspiring.,1
The film felt memorable.,1
What a enjoyable film.,1
"Overall, the movie was forgettable.",0
I thought the film was poor.,0
This was an outstanding movie.,1
What a ridiculous film.,0
The story was painful.,0
I thought the film was captivating.,1
What a dreadful film.,0
The movie turned out to be annoying.,0
The film felt forgettable.,0
This movie was unwatchable.,0
What a outstanding film.,1
The movie turned out to be impressive.,1
This was a flat movie.,0
What a charming film.,1
The movie turned out to be boring.,0
This movie was confusing.,0
The movie turned out to be outstanding.,1
The story was tedious.,0
The acting was boring.,0
The movie turned out to be dreadful.,0
The movie turned out to be forgettable.,0
This was an fantastic movie.,1
The film felt disappointing.,0
"Overall, the movie was terrible.",0
I thought the film was terrible.,0
"Overall, the movie was engaging.",1
The story was messy.,0
I found the movie funny.,1
The movie turned out to be disappointing.,0
What a brilliant film.,1
The acting was confusing.,0
The acting was outstanding.,1
"Overall, the movie was wonderful.",1
I found the movie poor.,0
The story was terrible.,0
This was an thrilling movie.,1
The acting was annoying.,0
The story was boring.,0
This was a terrible movie.,0
The acting was amazing.,1
This was a predictable movie.,0
I found the movie heartwarming.,1
The story was brilliant.,1
The acting was forgettable.,0
I thought the film was boring.,0
"Overall, the movie was poor.",0
What a memorable film.,1
The story was mediocre.,0
I thought the film was unwatchable.,0
What a flat film.,0
"Overall, the movie was painful.",0
I found the movie weak.,0
This movie was excellent.,1
This was an brilliant movie.,1
The story was unwatchable.,0
This was an impressive movie.,1
The acting was unwatchable.,0
"Overall, the movie was outstanding.",1
The movie turned out to be wonderful.,1
I thought the film was mediocre.,0
I thought the film was frustrating.,0
The film felt creative.,1
I found the movie charming.,1
This movie was captivating.,1
The film felt flat.,0
The film felt lifeless.,0
This movie was creative.,1
The movie turned out to be painful.,0
What a creative film.,1
This was an delightful movie.,1
"Overall, the movie was excellent.",1
What a delightful film.,1
This was an enjoyable movie.,1
What a mediocre film.,0
The acting was captivating.,1
"Overall, the movie was memorable.",1
The film felt wonderful.,1
The film felt weak.,0
This was an charming movie.,1
The acting was predictable.,0
I found the movie enjoyable.,1
This movie was funny.,1
I thought the film was tedious.,0
"Overall, the movie was thrilling.",1
"Overall, the movie was dreadful.",0
The story was thrilling.,1
"Overall, the movie was amazing.",1
The acting was messy.,0
What a forgettable film.,0
I found the movie brilliant.,1
This was an captivating movie.,1
"Overall, the movie was impressive.",1
This movie was inspiring.,1
The story was poor.,0
What a predictable film.,0
The film felt unwatchable.,0
I found the movie mediocre.,0
This movie was charming.,1
The story was weak.,0
The movie turned out to be enjoyable.,1
What a messy film.,0
This was an wonderful movie.,1
"Overall, the movie was enjoyable.",1
The acting was poor.,0
The movie turned out to be terrible.,0
What a fantastic film.,1
The movie turned out to be engaging.,1
"Overall, the movie was funny.",1
The film felt outstanding.,1
The story was fantastic.,1
"Overall, the movie was mediocre.",0
This was an excellent movie.,1
The movie turned out to be inspiring.,1
The acting was funny.,1
This movie was enjoyable.,1
This was a awful movie.,0
I found the movie thrilling.,1
The acting was painful.,0
The film felt boring.,0
The film felt thrilling.,1
The movie turned out to be brilliant.,1
I thought the film was painful.,0
I thought the film was enjoyable.,1
What a annoying film.,0
This movie was fantastic.,1
This movie was outstanding.,1
This was an amazing movie.,1
I found the movie confusing.,0
What a lifeless film.,0
The acting was terrible.,0
I found the movie tedious.,0
The story was annoying.,0
What a excellent film.,1
This movie was memorable.,1
What a weak film.,0
I thought the film was funny.,1
I thought the film was charming.,1
What a heartwarming film.,1
"Overall, the movie was captivating.",1
The film felt heartwarming.,1
The acting was lifeless.,0
I thought the film was predictable.,0
The acting was heartwarming.,1
What a funny film.,1
The acting was thrilling.,1
What a poor film.,0
I found the movie forgettable.,0
